step,MaskedCrossEntropyLoss,val MaskedCrossEntropyLoss
1,0.10656919330358505,0.08870219439268112
2,0.10622251778841019,0.08866455405950546
3,0.10613855719566345,0.08853659778833389
4,0.10596982389688492,0.08827514946460724
5,0.10591995716094971,0.08819742500782013
6,0.10587967187166214,0.0882154032588005
7,0.10563969612121582,0.08820401132106781
8,0.10554619878530502,0.08813756704330444
9,0.1054266169667244,0.08803574740886688
10,0.10534907132387161,0.0878877192735672
11,0.10522360354661942,0.08768186718225479
12,0.10505571216344833,0.08754093199968338
13,0.10503996163606644,0.08753866702318192
14,0.10482337325811386,0.08754038065671921
15,0.10466454178094864,0.08748134225606918
16,0.10457104444503784,0.08733516186475754
17,0.10440584272146225,0.08713004738092422
18,0.10426029562950134,0.08692220598459244
19,0.10425088554620743,0.08685620874166489
20,0.10405557602643967,0.0868413969874382
21,0.10386453568935394,0.08679373562335968
22,0.10372330248355865,0.08666972815990448
23,0.10356644541025162,0.08648113161325455
24,0.10340114682912827,0.08628635108470917
25,0.1032494455575943,0.08613362908363342
26,0.10312334448099136,0.08603033423423767
27,0.10301478952169418,0.0859823152422905
28,0.10276728123426437,0.08589911460876465
29,0.10274249315261841,0.08579306304454803
30,0.10257802903652191,0.08565282076597214
31,0.10249777883291245,0.08551714569330215
32,0.10240420699119568,0.08542300015687943
33,0.10234276205301285,0.0853838175535202
34,0.10237139463424683,0.08538918942213058
35,0.10246588289737701,0.08541211485862732
36,0.10251728445291519,0.08542236685752869
37,0.10255982726812363,0.0854056105017662
38,0.10252752900123596,0.08536873757839203
39,0.1024574413895607,0.08532693982124329
40,0.10237033665180206,0.08529471606016159
41,0.10231999307870865,0.08527661859989166
42,0.10233733057975769,0.0852755755186081
43,0.10234413295984268,0.08529079705476761
44,0.10238069295883179,0.08532002568244934
45,0.10234252363443375,0.0853588730096817
46,0.1023753210902214,0.08540668338537216
47,0.10231994092464447,0.08545827120542526
48,0.10233141481876373,0.08550535887479782
49,0.10232510417699814,0.08553805202245712
50,0.10232578217983246,0.08554808050394058
51,0.10232273489236832,0.08553566038608551
52,0.10231271386146545,0.0855068787932396
53,0.10231530666351318,0.08546876907348633
54,0.10230747610330582,0.08543108403682709
55,0.10228621959686279,0.08539824932813644
56,0.10228382050991058,0.08537397533655167
57,0.10226839035749435,0.08535755425691605
58,0.10224881023168564,0.08534737676382065
59,0.10223937034606934,0.08534283190965652
60,0.10223700851202011,0.08534114062786102
61,0.10224541276693344,0.0853438451886177
62,0.10223217308521271,0.08535023033618927
63,0.10223522782325745,0.08535358309745789
64,0.1022275984287262,0.08534397929906845
65,0.10223355889320374,0.08532438427209854
66,0.10221149027347565,0.08530324697494507
67,0.10221780091524124,0.08528680354356766
68,0.10220446437597275,0.085272416472435
69,0.10222235321998596,0.08526470512151718
70,0.10220535099506378,0.08525907248258591
71,0.10220447927713394,0.08525838702917099
72,0.10220222920179367,0.08526164293289185
73,0.10219710320234299,0.08526495844125748
74,0.10219556838274002,0.08526012301445007
75,0.10218974202871323,0.08525186032056808
76,0.10217545181512833,0.08524687588214874
77,0.10218226164579391,0.08524071425199509
78,0.10217785090208054,0.0852314904332161
79,0.10216721892356873,0.08522752672433853
80,0.10217023640871048,0.08522338420152664
81,0.10216239839792252,0.08522006869316101
82,0.10215861350297928,0.08521869033575058
83,0.10215417295694351,0.08521194756031036
84,0.1021442636847496,0.08520862460136414
85,0.10214768350124359,0.08520285785198212
86,0.10214296728372574,0.08519595861434937
87,0.10213509947061539,0.08518916368484497
88,0.1021336168050766,0.0851813480257988
89,0.10213617235422134,0.08516934514045715
90,0.10212923586368561,0.08515651524066925
91,0.10211443901062012,0.0851462110877037
92,0.10212674736976624,0.08513637632131577
93,0.10211562365293503,0.08513149619102478
94,0.10210822522640228,0.08513207733631134
95,0.10209272801876068,0.08513867110013962
96,0.10210546106100082,0.08514145016670227
97,0.10209215432405472,0.08514133840799332
98,0.10209976136684418,0.08513107895851135
99,0.10207992047071457,0.08512212336063385
100,0.10209285467863083,0.08510797470808029
101,0.10208196192979813,0.0850963145494461
102,0.10207512974739075,0.08508653193712234
103,0.10207578539848328,0.08507701754570007
104,0.1020728200674057,0.08506999909877777
105,0.10203180462121964,0.08506835997104645
106,0.10205237567424774,0.08506940305233002
107,0.10206335037946701,0.08506954461336136
108,0.10203108191490173,0.08506952971220016
109,0.10206413269042969,0.08506154268980026
110,0.1020585224032402,0.08505231142044067
111,0.10201384872198105,0.08504655212163925
112,0.10202465951442719,0.08504046499729156
113,0.10201161354780197,0.08503622561693192
114,0.1020575687289238,0.08502914011478424
115,0.10203202068805695,0.08502238988876343
116,0.1020209789276123,0.08501674979925156
117,0.10199317336082458,0.08501437306404114
118,0.10201097279787064,0.08500821888446808
119,0.10201003402471542,0.08499964326620102
120,0.10201924294233322,0.08498925715684891
121,0.10198482125997543,0.08498218655586243
122,0.10203710943460464,0.08497405797243118
123,0.10199985653162003,0.08496806770563126
124,0.10197404772043228,0.08496519178152084
125,0.10201115161180496,0.08496076613664627
126,0.10196053236722946,0.08495905995368958
127,0.1019379049539566,0.08496038615703583
128,0.10200227051973343,0.0849539116024971
129,0.10198484361171722,0.08494383841753006
130,0.10197178274393082,0.08493298292160034
131,0.10197436809539795,0.08492321521043777
132,0.10196388512849808,0.08491498976945877
133,0.10195773839950562,0.08490993827581406
134,0.10193643718957901,0.08490876108407974
135,0.10197741538286209,0.08490854501724243
136,0.10193876177072525,0.0849071592092514
137,0.10194811224937439,0.08490287512540817
138,0.1019311249256134,0.08489636331796646
139,0.10193530470132828,0.08489173650741577
140,0.10189522802829742,0.08488976955413818
141,0.10190637409687042,0.08488880097866058
142,0.10192250460386276,0.08488233387470245
143,0.1019728034734726,0.08486493676900864
144,0.1019420325756073,0.08485174924135208
145,0.10195284336805344,0.08484216779470444
146,0.1019374281167984,0.08483631908893585
147,0.10190137475728989,0.08483415096998215
148,0.10192737728357315,0.08483321964740753
149,0.10190125554800034,0.08483491092920303
150,0.10190664231777191,0.08483642339706421
151,0.10190200805664062,0.0848325714468956
152,0.10191186517477036,0.08482547104358673
153,0.1019367203116417,0.08481347560882568
154,0.10187975317239761,0.08480372279882431
155,0.10190705955028534,0.08479806780815125
156,0.10191507637500763,0.08479584753513336
157,0.10185611248016357,0.0847984328866005
158,0.1019263043999672,0.08479929715394974
159,0.10191720724105835,0.08479605615139008
160,0.10187867283821106,0.08478952944278717
161,0.10180144011974335,0.0847853496670723
162,0.1018756628036499,0.08477889746427536
163,0.10186027735471725,0.08477245271205902
164,0.10190895944833755,0.08476454019546509
165,0.1018705889582634,0.0847606286406517
166,0.10184850543737411,0.08475949615240097
167,0.10186301171779633,0.08475927263498306
168,0.10184145718812943,0.08476053923368454
169,0.10187114775180817,0.08475759625434875
170,0.1018587052822113,0.08475254476070404
171,0.1018386110663414,0.0847451463341713
172,0.10184969007968903,0.08473764359951019
173,0.10186171531677246,0.08473101258277893
174,0.10183510184288025,0.08472765982151031
175,0.10179602354764938,0.0847264975309372
176,0.10182096064090729,0.08472611010074615
177,0.10179047286510468,0.08472591638565063
178,0.10182008892297745,0.08472390472888947
179,0.10184197127819061,0.08471868187189102
180,0.10179612040519714,0.08471378684043884
181,0.10175178945064545,0.08470933139324188
182,0.10176696628332138,0.08470625430345535
183,0.1018303707242012,0.08470039069652557
184,0.1017458513379097,0.08469700068235397
185,0.10176257789134979,0.08469503372907639
186,0.10179204493761063,0.08469412475824356
187,0.1018294021487236,0.08469096571207047
188,0.10180284827947617,0.08468625694513321
189,0.10175848007202148,0.08468130230903625
190,0.10177463293075562,0.08467798680067062
191,0.10173729062080383,0.08467550575733185
192,0.10180681943893433,0.08467236906290054
193,0.10176020115613937,0.08467094600200653
194,0.10180746018886566,0.08466985821723938
195,0.10172326862812042,0.08466876298189163
196,0.10175855457782745,0.08466462790966034
197,0.1017032265663147,0.08465856313705444
198,0.10181410610675812,0.08465716242790222
199,0.10182680189609528,0.0846613422036171
200,0.10176505893468857,0.0846681147813797
