experiement_path,best_loss_value,learning_rate,embedding_dim,hidden_layer_1,hidden_layer_2,hidden_layer_3,dropout,middle_function,end_function
logs\random_search\experiment_0,0.07805447280406952,0.005,4,4,34,2,0,tanh,None
logs\random_search\experiment_1,0.06785091012716293,0.01,0,64,34,8,0,relu,sigmoid
logs\random_search\experiment_2,0.08653838187456131,0.01,8,8,16,8,0.05,sigmoid,softmax
logs\random_search\experiment_3,0.07098296284675598,0.01,0,4,8,4,0.1,sigmoid,clamp
logs\random_search\experiment_4,0.1693543940782547,0.005,32,34,16,1,0.15,relu,None
logs\random_search\experiment_5,0.08057261258363724,0.01,0,8,8,8,0.05,sigmoid,tanh
logs\random_search\experiment_6,0.07400059700012207,0.01,0,64,34,4,0.05,tanh,softmax
logs\random_search\experiment_7,0.08667588979005814,0.001,0,4,8,4,0.05,tanh,None
logs\random_search\experiment_8,0.07110156118869781,0.01,32,4,16,2,0.1,relu,None
logs\random_search\experiment_9,0.06536640226840973,0.01,8,16,16,8,0.05,None,tanh
logs\random_search\experiment_10,0.08875270932912827,0.001,4,4,16,2,0.05,relu,softmax
logs\random_search\experiment_11,0.08465716242790222,0.01,16,4,16,4,0.15,None,softmax
logs\random_search\experiment_12,0.08372341096401215,0.01,32,4,8,4,0.15,sigmoid,None
logs\random_search\experiment_13,0.08026552200317383,0.01,0,64,8,4,0.05,None,tanh
logs\random_search\experiment_14,0.06620950251817703,0.005,16,16,8,2,0.05,relu,clamp
logs\random_search\experiment_15,0.0657309889793396,0.005,32,16,16,1,0.15,relu,sigmoid
logs\random_search\experiment_16,0.11484342813491821,0.001,16,34,16,1,0.05,tanh,None
logs\random_search\experiment_17,0.0652039498090744,0.001,32,8,34,1,0.1,relu,sigmoid
logs\random_search\experiment_18,0.06701984256505966,0.01,0,16,16,1,0.15,tanh,sigmoid
logs\random_search\experiment_19,0.0742386132478714,0.005,0,4,34,4,0.15,tanh,softmax
logs\random_search\experiment_20,0.08681244403123856,0.005,16,8,34,2,0,relu,softmax
logs\random_search\experiment_21,0.4095495939254761,0.01,0,34,8,1,0.15,relu,clamp
logs\random_search\experiment_22,0.07929318398237228,0.001,32,16,8,1,0,sigmoid,sigmoid
logs\random_search\experiment_23,0.19652530550956726,0.01,16,4,34,8,0.05,tanh,tanh
logs\random_search\experiment_24,0.08714497089385986,0.005,8,4,34,8,0,sigmoid,softmax
logs\random_search\experiment_25,0.19652530550956726,0.005,32,64,34,2,0.15,sigmoid,tanh
logs\random_search\experiment_26,0.21015605330467224,0.001,4,4,16,4,0.1,relu,None
logs\random_search\experiment_27,0.06622321158647537,0.001,32,34,16,8,0.15,None,sigmoid
logs\random_search\experiment_28,0.08242811262607574,0.001,0,64,8,4,0.1,relu,softmax
logs\random_search\experiment_29,0.08411505818367004,0.001,0,34,34,4,0.05,relu,softmax
logs\random_search\experiment_30,0.06749951094388962,0.01,0,16,8,8,0,sigmoid,sigmoid
logs\random_search\experiment_31,0.06836336106061935,0.01,0,64,16,8,0.1,relu,clamp
logs\random_search\experiment_32,0.0860653668642044,0.001,8,16,34,2,0.1,relu,softmax
logs\random_search\experiment_33,0.12850801646709442,0.001,8,64,16,2,0.15,tanh,sigmoid
logs\random_search\experiment_34,0.08065883070230484,0.001,0,34,34,8,0.15,sigmoid,softmax
logs\random_search\experiment_35,0.06694963574409485,0.001,0,16,16,4,0,tanh,sigmoid
logs\random_search\experiment_36,0.08574682474136353,0.01,4,64,8,1,0.1,relu,softmax
logs\random_search\experiment_37,0.0730932354927063,0.005,0,16,16,8,0.15,None,softmax
logs\random_search\experiment_38,0.0831071063876152,0.001,0,4,16,8,0.05,tanh,clamp
logs\random_search\experiment_39,0.08483687788248062,0.01,32,8,16,1,0.1,tanh,softmax
logs\random_search\experiment_40,0.1900576800107956,0.01,0,16,8,2,0.1,tanh,softmax
logs\random_search\experiment_41,0.4097471535205841,0.005,0,34,16,1,0.05,tanh,softmax
logs\random_search\experiment_42,0.19652530550956726,0.01,16,8,34,8,0.1,sigmoid,sigmoid
logs\random_search\experiment_43,0.06490536779165268,0.01,8,64,34,2,0,None,tanh
logs\random_search\experiment_44,0.0776926800608635,0.001,32,8,16,2,0.1,tanh,None
logs\random_search\experiment_45,0.0847368985414505,0.01,32,34,8,1,0.15,sigmoid,softmax
logs\random_search\experiment_46,0.17779406905174255,0.001,32,64,34,8,0.1,relu,None
logs\random_search\experiment_47,0.06480469554662704,0.005,32,4,8,4,0.05,None,tanh
logs\random_search\experiment_48,0.06841064989566803,0.001,0,64,16,4,0.1,None,tanh
logs\random_search\experiment_49,0.08391031622886658,0.001,0,8,16,8,0.1,tanh,None
